"","HPI rank","Country","ISO","...4","Continent","Population (thousands)","Life Expectancy (years)","Ladder of life (Wellbeing) (0-10)","Carbon Footprint (tCO2e)","HPI","CO2 threshold for year  (tCO2e)","GDP per capita ($)"
"1",148,"Burundi","BDI","2021BDI",5,12551.2,61.7,0,0.65,0,3.17,714
"2",148,"Sudan","SDN","2021SDN",5,45657.2,65.3,0,0.87,0,3.17,3701
"3",1,"Vanuatu","VUT","2021VUT",8,319.1,70.4,7.12,2.62,57.9,3.17,2800
"4",2,"Sweden","SWE","2021SWE",3,10467.1,83,7.44,8.7,55.9,3.17,53772
"5",3,"El Salvador","SLV","2021SLV",1,6314.2,70.7,6.43,2.03,54.7,3.17,9192
"6",4,"Costa Rica","CRI","2021CRI",1,5154,77,6.41,4.37,54.1,3.17,21190
"7",5,"Nicaragua","NIC","2021NIC",1,6850.5,73.8,6.1,2.61,53.6,3.17,5692
"8",6,"Denmark","DNK","2021DNK",3,5854.2,81.4,7.7,10.04,53,3.17,57963
"9",7,"Spain","ESP","2021ESP",3,47486.9,83,6.47,7.12,53,3.17,37933
"10",8,"Panama","PAN","2021PAN",1,4351.3,76.2,6.55,5.24,52,3.17,30417
"11",9,"France","FRA","2021FRA",3,64531.4,82.5,6.66,7.91,52,3.17,44993
"12",10,"Chile","CHL","2021CHL",1,19493.2,78.9,6.44,6.2,51.3,3.17,25413
"13",11,"Portugal","PRT","2021PRT",3,10290.1,81,6.18,6.36,51,3.17,33681
"14",12,"Moldova","MDA","2021MDA",7,3061.5,68.8,5.96,1.29,50.9,3.17,13602
"15",13,"Honduras","HND","2021HND",1,10278.3,70.1,6.11,2.19,50.8,3.17,5572
"16",14,"Netherlands","NLD","2021NLD",3,17501.7,81.7,7.31,10.11,50.7,3.17,56617
"17",15,"Norway","NOR","2021NOR",3,5403,83.2,7.36,11.02,50.5,3.17,65909
"18",16,"Guatemala","GTM","2021GTM",1,17608.5,69.2,6.3,2.47,50.4,3.17,8927
"19",17,"Finland","FIN","2021FIN",3,5536,82,7.79,12.19,49.8,3.17,48713
"20",18,"Italy","ITA","2021ITA",3,59240.3,82.9,6.47,8.49,49.6,3.17,42056
"21",19,"United Kingdom","GBR","2021GBR",3,67281,80.7,6.87,8.94,49.5,3.17,44949
"22",20,"Romania","ROU","2021ROU",7,19328.6,74.2,6.55,5.42,49.4,3.17,30974
"23",21,"Philippines","PHL","2021PHL",8,113880.3,69.3,5.97,2.08,49,3.17,8096
"24",22,"Israel","ISR","2021ISR",4,8900.1,82.3,7.58,12.25,48.6,3.17,42409
"25",23,"Greece","GRC","2021GRC",3,10445.4,80.1,6.1,6.89,48.3,3.17,29548
"26",24,"Slovenia","SVN","2021SVN",7,2119.4,80.7,6.76,9.26,48.1,3.17,40036
"27",25,"Croatia","HRV","2021HRV",7,4060.1,77.6,6.29,6.58,48,3.17,31793
"28",26,"Thailand","THA","2021THA",8,71601.1,78.7,5.64,5.05,48,3.17,17087
"29",27,"Tajikistan","TJK","2021TJK",7,9750.1,71.6,5.29,1.48,47.8,3.17,3910
"30",28,"Ireland","IRL","2021IRL",3,4986.5,82,6.83,10.21,47.7,3.17,102785
"31",29,"Algeria","DZA","2021DZA",4,44178,76.4,5.22,3.11,47.4,3.17,11029
"32",30,"Dominican Republic","DOM","2021DOM",1,11117.9,72.6,6.03,4.13,47.3,3.17,18626
"33",31,"Peru","PER","2021PER",1,33715.5,72.4,5.69,3.19,47,3.17,12534
"34",32,"Czech Republic","CZE","2021CZE",7,10510.8,77.7,6.94,9.23,46.8,3.17,41694
"35",33,"Albania","ALB","2021ALB",7,2854.7,76.5,5.26,3.67,46.3,3.17,14596
"36",34,"Brazil","BRA","2021BRA",1,214326.2,72.8,6.01,4.59,46.2,3.17,14736
"37",35,"Germany","DEU","2021DEU",3,83408.6,80.6,6.75,10.44,45.7,3.17,53180
"38",36,"Vietnam","VNM","2021VNM",8,97468,73.6,5.54,3.79,45.5,3.17,10628
"39",37,"Austria","AUT","2021AUT",3,8922.1,81.6,7.08,12.15,45.3,3.17,54121
"40",38,"Morocco","MAR","2021MAR",4,37076.6,74,5.33,3.38,45.3,3.17,8058
"41",39,"Ecuador","ECU","2021ECU",1,17797.7,73.7,5.43,3.82,44.7,3.17,10669
"42",40,"Jamaica","JAM","2021JAM",1,2827.7,70.5,5.81,3.78,44.5,3.17,9607
"43",41,"Argentina","ARG","2021ARG",1,45276.8,75.4,5.91,6.39,43.8,3.17,21527
"44",42,"New Zealand","NZL","2021NZL",2,5129.7,82.5,7.14,13.91,43.4,3.17,44042
"45",43,"Mexico","MEX","2021MEX",1,126705.1,70.2,5.99,4.69,43.3,3.17,19086
"46",44,"Uzbekistan","UZB","2021UZB",7,34081.4,70.9,6.19,5.69,43,3.17,7801
"47",45,"Armenia","ARM","2021ARM",7,2791,72,5.3,3.43,43,3.17,14193
"48",46,"Hungary","HUN","2021HUN",7,9709.8,74.5,6.23,7.46,42.9,3.17,33620
"49",47,"Colombia","COL","2021COL",1,51516.6,72.8,5.29,3.74,42.9,3.17,14661
"50",48,"Switzerland","CHE","2021CHE",3,8691.4,84,7.33,15.7,42.9,3.17,70097
"51",49,"Japan","JPN","2021JPN",8,124612.5,84.8,6.09,11.66,42.7,3.17,41035
"52",50,"Bhutan","BTN","2021BTN",6,777.5,71.8,5.2,3.29,42.3,3.17,10908
"53",51,"China","CHN","2021CHN",8,1425893.5,78.2,5.86,8.38,41.9,3.17,17657
"54",52,"North Macedonia","MKD","2021MKD",7,2103.3,73.8,5.53,5.49,41.7,3.17,16709
"55",53,"Kyrgyzstan","KGZ","2021KGZ",7,6527.7,70,5.56,4.09,41.4,3.17,4934
"56",54,"Taiwan","TWN","2021TWN",8,23859.9,81,6.25,11.43,41.2,3.17,0
"57",55,"Lithuania","LTU","2021LTU",7,2786.7,73.7,6.86,10.27,41,3.17,39305
"58",56,"Slovakia","SVK","2021SVK",7,5447.6,74.9,6.42,9.34,41,3.17,32535
"59",57,"Sri Lanka","LKA","2021LKA",6,21773.4,76.4,4.1,2.18,40.4,3.17,13251
"60",58,"Iceland","ISL","2021ISL",3,370.3,82.7,7.56,17.82,40.3,3.17,53003
"61",59,"Poland","POL","2021POL",7,38307.7,76.5,5.98,8.89,40.3,3.17,34916
"62",60,"Indonesia","IDN","2021IDN",8,273753.2,67.6,5.43,3.19,40.1,3.17,11859
"63",61,"Mauritius","MUS","2021MUS",5,1298.9,73.6,5.95,7.65,40,3.17,20902
"64",62,"Uruguay","URY","2021URY",1,3426.3,75.4,6.5,10.51,39.9,3.17,23257
"65",63,"Bahrain","BHR","2021BHR",4,1463.3,78.8,6.5,12.14,39.9,3.17,49754
"66",64,"Bosnia and Herzegovina","BIH","2021BIH",7,3270.9,75.3,5.75,7.85,39.8,3.17,15893
"67",65,"Senegal","SEN","2021SEN",5,16876.7,67.1,4.9,1.47,39.7,3.17,3512
"68",66,"Australia","AUS","2021AUS",2,25921.1,84.5,7.11,17.7,39.5,3.17,49774
"69",67,"Malta","MLT","2021MLT",3,526.7,83.8,6.44,14.82,39.3,3.17,45572
"70",68,"Bangladesh","BGD","2021BGD",6,169356.3,72.4,4.12,1.22,39.2,3.17,5911
"71",69,"Malaysia","MYS","2021MYS",8,33573.9,74.9,6.01,8.97,39.1,3.17,26333
"72",70,"Latvia","LVA","2021LVA",7,1873.9,73.6,6.35,9.58,39.1,3.17,32080
"73",71,"Libya","LBY","2021LBY",4,6735.3,71.9,5.5,5.89,39,3.17,20274
"74",72,"Belgium","BEL","2021BEL",3,11611.4,81.9,6.88,15.84,38.9,3.17,51824
"75",73,"Belarus","BLR","2021BLR",7,9578.2,72.4,5.6,6.59,38.7,3.17,19873
"76",74,"Tunisia","TUN","2021TUN",4,12262.9,73.8,4.5,3.33,38.6,3.17,10396
"77",75,"Estonia","EST","2021EST",7,1328.7,77.1,6.55,12.59,38.3,3.17,38718
"78",76,"South Korea","KOR","2021KOR",8,51830.1,83.7,6.11,14.39,38,3.17,44232
"79",77,"Bulgaria","BGR","2021BGR",7,6885.9,71.8,5.42,6.34,37.5,3.17,24394
"80",78,"Nepal","NPL","2021NPL",6,30035,68.5,4.62,2.09,37.4,3.17,3854
"81",79,"Canada","CAN","2021CAN",2,38155,82.7,6.94,17.87,37.2,3.17,48218
"82",80,"Georgia","GEO","2021GEO",7,3758,71.7,4.91,4.59,37.2,3.17,15487
"83",81,"Cyprus","CYP","2021CYP",3,1244.2,81.2,6.27,14.96,36.4,3.17,41694
"84",82,"Ukraine","UKR","2021UKR",7,43531.4,71.6,5.31,6.45,36.4,3.17,12949
"85",83,"Cambodia","KHM","2021KHM",8,16589,69.6,4.56,2.8,36.3,3.17,4355
"86",84,"Montenegro","MNE","2021MNE",7,627.9,76.3,5.39,9.59,35.5,3.17,20710
"87",85,"Congo (Brazzaville)","COG","2021COG",5,5835.8,63.5,4.92,1.84,35.2,3.17,3234
"88",86,"Serbia","SRB","2021SRB",7,7296.8,74.2,6.25,12.28,35,3.17,19828
"89",87,"Gabon","GAB","2021GAB",5,2341.2,65.8,5.08,3.87,34.4,3.17,13814
"90",88,"Azerbaijan","AZE","2021AZE",7,10313,69.4,5.2,6.1,34.4,3.17,14434
"91",89,"Ethiopia","ETH","2021ETH",5,120283,65,4.1,0.2,34,3.17,2319
"92",90,"Paraguay","PRY","2021PRY",1,6703.8,70.3,5.58,8.27,33.9,3.17,13676
"93",91,"Turkey","TUR","2021TUR",4,84775.4,76,4.37,6.27,33.8,3.17,31467
"94",92,"Pakistan","PAK","2021PAK",6,231402.1,66.1,4.49,2.23,33.7,3.17,5232
"95",93,"Iraq","IRQ","2021IRQ",4,43533.6,70.4,5.09,6.79,33.4,3.17,8787
"96",94,"Cameroon","CMR","2021CMR",5,27198.6,60.3,4.96,1.3,33.4,3.17,3700
"97",95,"Mozambique","MOZ","2021MOZ",5,32077.1,59.3,5.18,1.6,33.2,3.17,1227
"98",96,"Ghana","GHA","2021GHA",5,32833,63.8,4.38,1.13,32.9,3.17,5435
"99",97,"Jordan","JOR","2021JOR",4,11148.3,74.3,3.91,4.11,32.8,3.17,9203
"100",98,"Venezuela","VEN","2021VEN",1,28199.9,70.6,5.11,7.37,32.7,3.17,0
"101",99,"Mauritania","MRT","2021MRT",5,4615,64.4,4.5,2.08,32.4,3.17,5308
"102",100,"Cote d'Ivoire","CIV","2021CIV",5,27478.2,58.6,5.06,1.23,32.3,3.17,5316
"103",101,"Egypt","EGY","2021EGY",4,109262.2,70.2,4.03,3.14,32.2,3.17,12180
"104",102,"United States of America","USA","2021USA",2,336997.6,77.2,6.96,19.59,32.1,3.17,63636
"105",103,"Bolivia","BOL","2021BOL",1,12079.5,63.6,5.57,5.88,32.1,3.17,8052
"106",104,"Myanmar","MMR","2021MMR",8,53798.1,65.7,4.31,2.46,31.6,3.17,4033
"107",105,"Guinea","GIN","2021GIN",5,13531.9,58.9,4.94,1.7,30.9,3.17,2640
"108",106,"Uganda","UGA","2021UGA",5,45853.8,62.7,4.22,1.08,30.7,3.17,2246
"109",107,"Kenya","KEN","2021KEN",5,53005.6,61.4,4.46,1.36,30.7,3.17,4746
"110",108,"Niger","NER","2021NER",5,25252.7,61.6,4.37,1.11,30.6,3.17,1187
"111",109,"Singapore","SGP","2021SGP",8,5941.1,82.8,6.59,23.24,30.5,3.17,107741
"112",110,"Laos","LAO","2021LAO",8,7425.1,68.1,4.93,6.98,30.2,3.17,7847
"113",111,"Madagascar","MDG","2021MDG",5,28915.7,64.5,3.89,1.08,29.8,3.17,1482
"114",112,"Kazakhstan","KAZ","2021KAZ",7,19196.5,69.4,6.26,14.22,29.4,3.17,26111
"115",113,"South Africa","ZAF","2021ZAF",5,59392.3,62.3,5.6,7.08,29.3,3.17,13312
"116",114,"Saudi Arabia","SAU","2021SAU",4,35950.4,76.9,6.45,20.16,29.3,3.17,46587
"117",115,"Iran","IRN","2021IRN",4,87923.4,73.9,4.79,10.5,29,3.17,15005
"118",116,"Benin","BEN","2021BEN",5,12996.9,59.8,4.49,1.55,28.9,3.17,3322
"119",117,"Burkina Faso","BFA","2021BFA",5,22100.7,59.3,4.64,1.87,28.8,3.17,2180
"120",118,"Tanzania","TZA","2021TZA",5,63588.3,66.2,3.68,1.61,28.8,3.17,2583
"121",119,"Liberia","LBR","2021LBR",5,5193.4,60.7,4.05,0.48,28.6,3.17,1423
"122",120,"Rwanda","RWA","2021RWA",5,13461.9,66.1,3.4,0.7,28.1,3.17,2238
"123",121,"India","IND","2021IND",6,1407563.8,67.2,3.56,2.1,27.8,3.17,6677
"124",122,"Russia","RUS","2021RUS",7,145102.8,69.4,5.45,12.09,27.8,3.17,28194
"125",123,"Haiti","HTI","2021HTI",1,11447.6,63.2,3.81,1.33,27.5,3.17,2881
"126",124,"Malawi","MWI","2021MWI",5,19889.7,62.9,3.64,0.69,27,3.17,1491
"127",125,"Yemen","YEM","2021YEM",4,32981.6,63.8,3.64,1.38,26.6,3.17,0
"128",126,"United Arab Emirates","ARE","2021ARE",4,9365.1,78.7,6.73,26.78,26.4,3.17,69734
"129",127,"Togo","TGO","2021TGO",5,8644.8,61.6,4.04,2.16,26.3,3.17,2137
"130",128,"Hong Kong","HKG","2021HKG",8,7494.6,85.5,5.32,23.5,26.3,3.17,60037
"131",129,"Turkmenistan","TKM","2021TKM",7,6341.9,69.3,5.45,14.23,25.6,3.17,0
"132",130,"Congo (Kinshasa)","COD","2021COD",5,95894.1,59.2,3.8,0.57,24.9,3.17,1074
"133",131,"Trinidad and Tobago","TTO","2021TTO",1,1525.7,73,6.2,21.81,24.9,3.17,23037
"134",132,"Luxembourg","LUX","2021LUX",3,639.3,82.6,7.06,34.91,24.6,3.17,115683
"135",133,"Sierra Leone","SLE","2021SLE",5,8420.6,60.1,3.71,0.89,24.6,3.17,1615
"136",134,"Kuwait","KWT","2021KWT",4,4250.1,78.7,6.17,28.84,23.2,3.17,45652
"137",135,"Mali","MLI","2021MLI",5,21905,58.9,4.11,3.76,22.2,3.17,2121
"138",136,"Namibia","NAM","2021NAM",5,2530.2,59.3,4.49,6.22,21.8,3.17,9209
"139",137,"Nigeria","NGA","2021NGA",5,213401.3,52.7,4.48,1.55,21.6,3.17,4923
"140",138,"Mongolia","MNG","2021MNG",8,3347.8,71,5.72,24.67,20.4,3.17,11668
"141",139,"Zimbabwe","ZWE","2021ZWE",5,15993.5,59.3,3.15,0.82,19.7,3.17,2115
"142",140,"Lebanon","LBN","2021LBN",4,5592.6,75,2.18,4.91,19.2,3.17,12987
"143",141,"Zambia","ZMB","2021ZMB",5,19473.1,61.2,3.08,2.23,19.1,3.17,3237
"144",142,"Qatar","QAT","2021QAT",4,2688.2,79.3,6.5,42.2,18.8,3.17,92863
"145",143,"Chad","TCD","2021TCD",5,17179.7,52.5,4.4,3.88,18.3,3.17,1425
"146",144,"Afghanistan","AFG","2021AFG",6,40099.5,62,2.44,1.14,16.2,3.17,1517
"147",145,"Lesotho","LSO","2021LSO",5,2281.5,53.1,3.7,3.04,15.6,3.17,2293
"148",146,"Botswana","BWA","2021BWA",5,2588.4,61.1,3.5,10.28,14.7,3.17,14907
"149",147,"Central African Republic","CAF","2021CAF",5,5457.2,53.9,3.1,1.83,13.7,3.17,838
